,Country,Year,PM2.5,Life Expectancy
1002,Spain,2016,10,
1003,Spain,2013,11,
1004,Spain,2016,7,
1005,Spain,2016,6,
1006,Spain,2016,5,
1007,Spain,2016,9,
1008,Spain,2013,10,
1009,Spain,2016,10,
1010,Spain,2016,9,
1011,Spain,2013,9,
1012,Spain,2016,9,
1013,Spain,2016,7,
1014,Spain,2016,5,
1015,Spain,2013,9,
1016,Spain,2016,5,
1017,Spain,2016,15,
1018,Spain,2016,6,
1019,Spain,2016,13,
1020,Spain,2016,6,
1021,Spain,2015,8,
1022,Spain,2016,7,
1023,Spain,2016,6,
1024,Spain,2014,4,
1025,Spain,2016,8,
1026,Spain,2016,14,
1027,Spain,2016,10,
1028,Spain,2015,12,
1029,Spain,2016,6,
1030,Spain,2016,10,
1031,Spain,2016,8,
1032,Spain,2013,13,
1033,Spain,2016,11,
1034,Spain,2013,8,
1035,Spain,2015,11,
1036,Spain,2016,8,
1037,Spain,2013,5,
1038,Spain,2013,6,
1039,Spain,2016,10,
1040,Spain,2013,7,
1041,Spain,2016,7,
1042,Spain,2014,10,
1043,Spain,2016,7,
1044,Spain,2015,14,
1045,Spain,2016,10,
1046,Spain,2013,5,
1047,Spain,2016,7,
1048,Spain,2013,8,
1049,Spain,2013,8,
1050,Spain,2016,9,
1051,Spain,2016,8,
1052,Spain,2016,9,
1053,Spain,2016,6,
1054,Spain,2016,8,
1055,Spain,2015,13,
1056,Spain,2013,13,
1057,Spain,2016,9,
1058,Spain,2016,4,
1059,Spain,2016,7,
1060,Spain,2016,6,
1061,Spain,2013,7,
1062,Spain,2016,10,
1063,Spain,2013,7,
1064,Spain,2016,5,
1065,Spain,2016,8,
1066,Spain,2016,11,
1067,Spain,2013,6,
1068,Spain,2016,11,
1069,Spain,2016,15,
1070,Spain,2016,10,
1071,Spain,2016,10,
1072,Spain,2016,12,
1073,Spain,2016,8,
1074,Spain,2016,5,
1075,Spain,2013,8,
1076,Spain,2016,9,
1077,Spain,2016,6,
1078,Spain,2016,9,
1079,Spain,2016,8,
1080,Spain,2015,10,
1081,Spain,2016,11,
1082,Spain,2013,5,
1083,Spain,2016,7,
1084,Estonia,2016,5,
1085,Estonia,2016,5,
1086,Estonia,2016,5,
1087,Estonia,2016,5,
1088,Estonia,2016,6,
1089,Estonia,2016,4,
1090,Estonia,2016,5,
1091,Finland,2016,5,
1092,Finland,2016,6,
1093,Finland,2016,7,
1094,Finland,2016,5,
1095,Finland,2016,6,
1096,Finland,2016,7,
1097,Finland,2016,5,
1098,Finland,2016,7,
1099,Finland,2016,6,
1100,Finland,2016,5,
1101,Finland,2016,4,
1102,Finland,2016,4,
1103,Finland,2016,7,
1104,Finland,2016,6,
1105,Fiji,2015,8,
1106,France,2016,13,
1107,France,2015,15,
1108,France,2014,10,
1109,France,2016,12,
1110,France,2016,12,
1111,France,2016,10,
1112,France,2015,18,
1113,France,2016,13,
1114,France,2016,10,
1115,France,2016,12,
1116,France,2016,12,
1117,France,2016,10,
1118,France,2016,12,
